Size;Time
20;0.0
40;0.0007486343383789062
60;0.0013611912727355957
80;0.0020776987075805664
100;0.004754245281219482
120;0.007351040840148926
140;0.011301100254058838
160;0.016831159591674805
180;0.024060845375061035
200;0.033071279525756836
220;0.04356503486633301
240;0.05533558130264282
260;0.07220488786697388
280;0.09245538711547852
300;0.11576950550079346
